Country,Sub-national region,latitude,longitude,ISO country code,World region,MPI_Country,MPI_Region,PercPoverty,DepvrIntensity,location_type,latlngImputed,useforspatial,popDensity,precipitation,TimeToCity,AvgNightLight,LandClassification,Elevation,Temperature,Evaporation,Modis_LAI,Modis_EVI,soil_orgc,soil_phaq,soil_clay,soil_silt,soil_sand,Conflicts_total,Conflicts_totalDeaths,Conflicts_totalDeathsCivilians
Afghanistan,Badakhshan,36.7347725,70.8119953,AFG,South Asia,0.295,0.387,67.5,57.3,APPROXIMATE,0,1,24.8333339691162,446.5,182,0,140,2391,18,3532,2,732,,,,,,21,160,3
Afghanistan,Badghis,35.1671339,63.7695384,AFG,South Asia,0.295,0.466,79.3,58.8,APPROXIMATE,0,1,7.67166662216187,302.5,237,0,30,1378,29,1615,2,1340,,,,,,0,0,0
Afghanistan,Baghlan,35.8042947,69.2877535,AFG,South Asia,0.295,0.3,59.7,50.3,APPROXIMATE,0,1,35.9266662597656,533,308,0,140,2336,23,2158,1,884,,,,,,2,2,0
Afghanistan,Balkh,36.7550603,66.8975372,AFG,South Asia,0.295,0.301,55.7,54.1,APPROXIMATE,0,1,251.66667175293,201,0,10,11,346,26,1482,4,2028,,,,,,1,4,0
Afghanistan,Bamyan,34.8100067,67.8212104,AFG,South Asia,0.295,0.325,61,53.3,APPROXIMATE,0,1,41.5,145.5,250,3,20,2562,22,2744,4,1261,,,,,,1,1,0
Afghanistan,Daykundi,33.669495,66.0463534,AFG,South Asia,0.295,0.313,65.1,48.1,APPROXIMATE,0,1,17,202.5,672,0,20,2214,23,1767,3,1295,,,,,,1,1,0
Afghanistan,Farah,32.4464635,62.1454133,AFG,South Asia,0.295,0.319,61.4,52,APPROXIMATE,0,1,39.5499992370605,70.5,313,0,200,670,33,527,2,1279,,8.36666666666667,18.3166666666667,41.95,39.7333333333333,78,367,48
Afghanistan,Faryab,36.0795613,64.905955,AFG,South Asia,0.295,0.25,49.4,50.6,APPROXIMATE,0,1,100.809997558594,317.5,169,0,140,711,35,1202,2,976,,,,,,26,137,21
Afghanistan,Ghazni,33.5450587,68.4173972,AFG,South Asia,0.295,0.245,47.4,51.6,APPROXIMATE,0,1,4049.83325195313,189.5,126,6,200,2176,25,1552,2,1092,,,,,,122,521,68
Afghanistan,Ghor,34.0995776,64.905955,AFG,South Asia,0.295,0.384,74.6,51.5,APPROXIMATE,0,1,7.66666650772095,198.5,528,0,11,2908,20,1731,2,837,,,,,,6,20,0
Afghanistan,Helmand,31.3636474,63.9586111,AFG,South Asia,0.295,0.261,61.8,42.2,APPROXIMATE,0,1,21.1666660308838,72.5,374,0,30,762,37,,,829,,,,,,0,0,0
Afghanistan,Herat,34.352865,62.2040287,AFG,South Asia,0.295,0.353,63.3,55.8,APPROXIMATE,0,1,942.716674804688,211,4,36,140,928,27,1073,2,1172,,,,,,67,132,35
Afghanistan,Jawzjan,36.8969692,65.6658568,AFG,South Asia,0.295,0.293,60.9,48.1,APPROXIMATE,0,1,15.5,242.5,324,0,30,293,32,999,1,906,,,,,,0,0,0
Afghanistan,Kabul,34.5553494,69.207486,AFG,South Asia,0.295,0.117,25.3,46.1,APPROXIMATE,0,1,399.178344726563,238.5,6,32,200,1791,24,1396,2,1102,,,,,,37,112,31
Afghanistan,Kandahar,31.628871,65.7371749,AFG,South Asia,0.295,0.437,72.1,60.7,APPROXIMATE,0,1,811.158325195313,120.5,3,26,200,1014,32,566,2,1143,,,,,,337,1080,277
Afghanistan,Kapisa,34.9810572,69.6214562,AFG,South Asia,0.295,0.28,53.6,52.3,APPROXIMATE,0,1,191.800003051758,405.5,184,0,200,1891,25,2086,2,993,,,,,,71,261,55
Afghanistan,Khost,33.3338472,69.9371673,AFG,South Asia,0.295,0.296,57.8,51.1,APPROXIMATE,0,1,181.169998168945,396,128,2,20,1164,27,2036,6,2264,,,,,,265,903,198
Afghanistan,Kunarha,34.8465893,71.097317,AFG,South Asia,0.295,0.269,58.3,46.2,APPROXIMATE,0,1,121.608329772949,637.5,48,0,14,1597,27,1849,3,1302,,7.93375,16.7608333333333,43.125,40.1141666666667,272,1084,59
Afghanistan,Kunduz,36.7285907,68.8680663,AFG,South Asia,0.295,0.294,60.5,48.5,APPROXIMATE,0,1,431.950012207031,318.5,3,20,140,403,29,1103,2,1189,,,,,,180,1601,221
Afghanistan,Laghman,34.6897687,70.1455805,AFG,South Asia,0.295,0.369,70.4,52.4,APPROXIMATE,0,1,221.16667175293,310,32,0,200,879,32,1093,2,1032,,,,,,129,441,8
Afghanistan,Logar,34.0145518,69.1923916,AFG,South Asia,0.295,0.187,41.4,45.2,APPROXIMATE,0,1,65.7483291625977,273.5,115,0,200,2198,28,,,608,,,,,,76,189,12
